Clndrs,Volume,HpX,Model,origin,Lbs-,Acc+,Mpg+
4,151,90,82,1,2950,17.3,30
4,140,86,82,1,2790,15.6,30
4,119,97,78,3,2300,14.7,30
4,141,71,79,2,3190,24.8,30
4,135,84,81,1,2490,15.7,30
4,121,80,79,1,2670,15,30
4,134,95,78,3,2560,14.2,30
4,156,105,80,1,2800,14.4,30
4,140,90,71,1,2264,15.5,30
4,116,90,71,2,2123,14,30
4,97,92,72,3,2288,17,30
4,98,80,72,1,2164,15,30
4,90,75,74,1,2125,14.5,30
4,107,86,76,2,2464,15.5,30
4,97,75,76,3,2155,16.4,30
4,151,90,80,1,2678,16.5,30
4,112,88,82,1,2605,19.6,30
4,120,79,82,1,2625,18.6,30
4,141,80,81,2,3230,20.4,30
4,151,90,79,1,2670,16,30
6,173,115,79,1,2595,11.3,30
4,68,49,73,2,1867,19.5,30
4,98,83,74,2,2219,16.5,30
4,97,75,75,3,2171,16,30
4,90,70,75,2,1937,14,30
4,85,52,76,1,2035,22.2,30
4,90,70,76,2,1937,14.2,30
4,97,78,77,2,1940,14.5,30
4,135,84,82,1,2525,16,30
4,97,71,76,2,1825,12.2,30
4,98,68,78,3,2135,16.6,30
4,134,90,80,3,2711,15.5,30
4,89,62,80,2,1845,15.3,30
4,98,65,81,1,2380,20.7,30
4,79,70,71,2,2074,19.5,30
4,88,76,71,2,2065,14.5,30
4,111,80,77,1,2155,14.8,30
4,97,67,77,3,1985,16.4,30
4,98,68,78,1,2155,16.5,30
4,146,67,80,2,3250,21.8,30
4,135,84,81,1,2385,12.9,30
4,98,63,77,1,2051,17,30
4,97,78,77,2,2190,14.1,30
6,145,76,81,2,3160,19.6,30
4,105,75,78,1,2230,14.5,30
4,71,65,71,3,1773,19,30
4,79,67,74,3,1950,19,30
4,76,52,74,3,1649,16.5,30
4,79,67,74,2,2000,16,30
4,112,85,82,1,2575,16.2,30
4,91,68,82,3,1970,17.6,30
4,119,82,82,1,2720,19.4,30
4,120,75,80,3,2542,17.5,30
4,98,68,77,3,2045,18.5,30
4,89,71,78,2,1990,14.9,30
4,120,74,81,3,2635,18.3,30
4,85,65,79,3,2020,19.2,30
4,89,71,79,2,1925,14,30
4,71,65,74,3,1836,21,30
4,83,61,74,3,2003,19,30
4,85,70,76,3,1990,17,30
4,91,67,82,3,1965,15.7,30
4,144,96,82,3,2665,13.9,30
4,135,84,82,1,2295,11.6,30
4,98,70,80,1,2120,15.5,30
4,108,75,80,3,2265,15.2,30
4,97,67,81,3,2065,17.8,30
4,107,72,80,3,2290,17,30
4,108,75,81,3,2350,16.8,30
6,168,132,80,3,2910,11.4,30
4,78,52,78,3,1985,19.4,30
4,119,100,81,3,2615,14.8,30
4,91,53,75,3,1795,17.5,30
4,91,53,76,3,1795,17.4,30
4,105,74,81,2,2190,14.2,30
4,85,70,77,3,1945,16.8,30
4,98,83,77,1,2075,15.9,30
4,151,90,79,1,2556,13.2,30
4,107,75,81,3,2210,14.4,30
4,97,67,80,3,2145,18,30
4,112,88,82,1,2395,18,30
4,108,70,82,3,2245,16.9,30
4,86,65,79,3,1975,15.2,30
4,91,68,81,3,1985,16,30
4,105,70,79,1,2200,13.2,30
4,97,78,80,2,2188,15.8,30
4,98,65,81,1,2045,16.2,30
4,105,70,79,1,2150,14.9,30
4,100,?,81,2,2320,15.8,30
4,105,63,81,1,2215,14.9,30
4,72,69,71,3,1613,18,40
4,122,88,80,2,2500,15.1,40
4,81,60,81,3,1760,16.1,40
4,98,80,79,1,1915,14.4,40
4,79,58,77,2,1825,18.6,40
4,105,74,82,2,1980,15.3,40
4,98,70,82,1,2125,17.3,40
4,120,88,82,3,2160,14.5,40
4,107,75,82,3,2205,14.5,40
4,135,84,82,1,2370,13,40
4,98,66,78,1,1800,14.4,40
4,91,60,78,3,1800,16.4,40
5,121,67,80,2,2950,19.9,40
4,119,92,80,3,2434,15,40
4,85,65,81,3,1975,19.4,40
4,91,68,82,3,2025,18.2,40
4,86,65,80,3,2019,16.4,40
4,91,69,79,2,2130,14.7,40
4,89,62,81,3,2050,17.3,40
4,105,63,82,1,2125,14.7,40
4,91,67,82,3,1965,15,40
4,91,67,82,3,1995,16.2,40
6,262,85,82,1,3015,17,40
4,89,60,80,3,1968,18.8,40
4,86,64,81,1,1875,16.4,40
4,79,58,81,3,1755,16.9,40
4,85,70,78,3,2070,18.6,40
4,85,65,80,3,2110,19.2,40
4,85,?,80,2,1835,17.3,40
4,98,76,80,2,2144,14.7,40
4,90,48,78,2,1985,21.5,40
4,90,48,80,2,2335,23.7,40
4,97,52,82,2,2130,24.6,40
4,90,48,80,2,2085,21.7,40
4,91,67,80,3,1850,13.8,40
4,86,65,80,3,2110,17.9,50
